vm_id     cpu_cores      cpu_util       cpu_ipcs       cpu_power      cache_miss_rate     dram_power     
3         0-3            0              0.42           26.5736        4.955               7.93923        
3         0-3            1.99797        0.33           26.4604        4.621               7.06158        
3         0-3            0              0.3            25.5946        10.151              8.40481        
3         0-3            0              0.33           32.8699        6.454               9.77604        
3         0-3            0              0.29           36.9657        3.93                6.69317        
3         0-3            0              0.35           33.7778        5.347               9.82712        
3         0-3            0              0.34           31.9043        5.407               8.79645        
3         0-3            0              0.39           28.7583        6.219               7.15791        
3         0-3            0              0.32           26.3196        5.626               7.3251         
3         0-3            0              0.36           25.854         3.783               8.69469        
